Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
28	2	835.000109, 422.110707	-0.339864, 2.185149	-0.011450, -0.003513
28	3	958.024740, 409.399469	-0.135733, 1.757664	-0.004778, -0.000715
29	1	640.000064, 360.000006	0.000004, 0.000001	0.000000, 0.000000
29	2	834.648870, 424.292233	-0.351238, 2.181526	-0.011375, -0.003623
29	3	957.884236, 411.156393	-0.140504, 1.756923	-0.004770, -0.000741
30	1	640.000068, 360.000007	0.000004, 0.000001	0.000000, 0.000000
30	2	834.286334, 426.470027	-0.362536, 2.177794	-0.011298, -0.003732
30	3	957.738971, 412.912549	-0.145266, 1.756157	-0.004762, -0.000766
31	1	640.000073, 360.000007	0.000004, 0.000001	0.000000, 0.000000
31	2	833.912578, 428.643982	-0.373756, 2.173955	-0.011219, -0.003839
31	3	957.588951, 414.667915	-0.150020, 1.755365	-0.004754, -0.000792
32	1	640.000078, 360.000008	0.000005, 0.000001	0.000000, 0.000000
32	2	833.527683, 430.813994	-0.384895, 2.170012	-0.011139, -0.003943
32	3	957.434186, 416.422463	-0.154765, 1.754549	-0.004745, -0.000817
33	1	640.000082, 360.000009	0.000005, 0.000001	0.000000, 0.000000
33	2	833.131732, 432.979960	-0.395951, 2.165966	-0.011057, -0.004046
33	3	957.274685, 418.176170	-0.159501, 1.753707	-0.004736, -0.000842
34	1	640.000087, 360.000010	0.000005, 0.000001	0.000000, 0.000000
34	2	832.724808, 435.141780	-0.406924, 2.161820	-0.010973, -0.004146
34	3	957.110457, 419.929010	-0.164228, 1.752840	-0.004727, -0.000867
35	1	640.000092, 360.000011	0.000005, 0.000001	0.000000, 0.000000
35	2	832.306997, 437.299355	-0.417811, 2.157575	-0.010887, -0.004245
35	3	956.941511, 421.680959	-0.168946, 1.751949	-0.004718, -0.000891
36	1	640.000097, 360.000011	0.000005, 0.000001	0.000000, 0.000000
36	2	831.878387, 439.452589	-0.428610, 2.153234	-0.010800, -0.004341
36	3	956.767858, 423.431992	-0.173653, 1.751033	-0.004708, -0.000916
37	1	640.000103, 360.000012	0.000005, 0.000001	0.000000, 0.000000
37	2	831.439065, 441.601388	-0.439321, 2.148799	-0.010711, -0.004435
37	3	956.589506, 425.182084	-0.178351, 1.750092	-0.004698, -0.000941
38	1	640.000108, 360.000013	0.000005, 0.000001	0.000000, 0.000000
38	2	830.989124, 443.745660	-0.449942, 2.144272	-0.010621, -0.004527
38	3	956.406467, 426.931211	-0.183039, 1.749127	-0.004688, -0.000965
39	1	640.000114, 360.000015	0.000006, 0.000001	0.000000, 0.000000
39	2	830.528653, 445.885315	-0.460471, 2.139655	-0.010529, -0.004617
39	3	956.218751, 428.679348	-0.187716, 1.748138	-0.004677, -0.000989
40	1	640.000119, 360.000016	0.000006, 0.000001	0.000000, 0.000000
40	2	830.057746, 448.020266	-0.470907, 2.134951	-0.010436, -0.004704
40	3	956.026368, 430.426472	-0.192383, 1.747124	-0.004667, -0.001013
41	1	640.000125, 360.000017	0.000006, 0.000001	0.000000, 0.000000
41	2	829.576498, 450.150426	-0.481249, 2.130161	-0.010342, -0.004790
41	3	955.829329, 432.172559	-0.197039, 1.746087	-0.004656, -0.001037
42	1	640.000131, 360.000018	0.000006, 0.000001	0.000000, 0.000000
42	2	829.085002, 452.275714	-0.491496, 2.125288	-0.010247, -0.004873
42	3	955.627646, 433.917585	-0.201683, 1.745026	-0.004644, -0.001061
43	1	640.000137, 360.000019	0.000006, 0.000001	0.000000, 0.000000
43	2	828.583356, 454.396049	-0.501646, 2.120334	-0.010150, -0.004954
43	3	955.421330, 435.661526	-0.206316, 1.743941	-0.004633, -0.001085
44	1	640.000143, 360.000021	0.000006, 0.000001	0.000000, 0.000000
44	2	828.071657, 456.511351	-0.511699, 2.115302	-0.010053, -0.005032
44	3	955.210393, 437.404358	-0.210937, 1.742832	-0.004621, -0.001108
45	1	640.000150, 360.000022	0.000006, 0.000001	0.000000, 0.000000
45	2	827.550003, 458.621544	-0.521654, 2.110193	-0.009955, -0.005109
45	3	954.994846, 439.146058	-0.215547, 1.741700	-0.004609, -0.001132
46	1	640.000156, 360.000023	0.000006, 0.000001	0.000000, 0.000000
46	2	827.018493, 460.726555	-0.531510, 2.105011	-0.009856, -0.005183
46	3	954.774702, 440.886604	-0.220144, 1.740545	-0.004597, -0.001155
47	1	640.000162, 360.000025	0.000007, 0.000002	0.000000, 0.000000
47	2	826.477227, 462.826311	-0.541266, 2.099756	-0.009756, -0.005255
47	3	954.549972, 442.625971	-0.224729, 1.739367	-0.004585, -0.001178
48	1	640.000169, 360.000027	0.000007, 0.000002	0.000000, 0.000000
48	2	825.926306, 464.920743	-0.550921, 2.094432	-0.009655, -0.005324
48	3	954.320671, 444.364137	-0.229302, 1.738166	-0.004572, -0.001201
49	1	640.000176, 360.000028	0.000007, 0.000002	0.000000, 0.000000
49	2	825.365830, 467.009783	-0.560475, 2.089040	-0.009554, -0.005392
49	3	954.086809, 446.101080	-0.233862, 1.736943	-0.004560, -0.001224
50	1	640.000183, 360.000030	0.000007, 0.000002	0.000000, 0.000000
50	2	824.795903, 469.093367	-0.569927, 2.083584	-0.009452, -0.005457
50	3	953.848401, 447.836776	-0.238408, 1.735696	-0.004547, -0.001246
51	1	640.000190, 360.000032	0.000007, 0.000002	0.000000, 0.000000
51	2	824.216626, 471.171431	-0.579277, 2.078064	-0.009350, -0.005520
51	3	953.605459, 449.571204	-0.242942, 1.734428	-0.004533, -0.001269
52	1	640.000197, 360.000033	0.000007, 0.000002	0.000000, 0.000000
52	2	823.628102, 473.243915	-0.588524, 2.072484	-0.009247, -0.005580
52	3	953.357997, 451.304341	-0.247462, 1.733137	-0.004520, -0.001291
53	1	640.000204, 360.000035	0.000007, 0.000002	0.000000, 0.000000
53	2	823.030434, 475.310759	-0.597668, 2.066845	-0.009144, -0.005639
53	3	953.106029, 453.036165	-0.251968, 1.731824	-0.004506, -0.001313
54	1	640.000212, 360.000037	0.000007, 0.000002	0.000000, 0.000000
54	2	822.423727, 477.371908	-0.606707, 2.061149	-0.009040, -0.005695
54	3	952.849569, 454.766654	-0.256461, 1.730489	-0.004493, -0.001335
55	1	640.000219, 360.000039	0.000007, 0.000002	0.000000, 0.000000
55	2	821.808083, 479.427308	-0.615643, 2.055400	-0.008936, -0.005750
55	3	952.588629, 456.495787	-0.260939, 1.729133	-0.004479, -0.001356
56	1	640.000227, 360.000041	0.000008, 0.000002	0.000000, 0.000000
56	2	821.183608, 481.476906	-0.624475, 2.049598	-0.008832, -0.005802
56	3	952.323226, 458.223541	-0.265404, 1.727755	-0.004464, -0.001378
57	1	640.000234, 360.000043	0.000008, 0.000002	0.000000, 0.000000
57	2	820.550405, 483.520653	-0.633203, 2.043746	-0.008727, -0.005852
57	3	952.053372, 459.949897	-0.269854, 1.726355	-0.004450, -0.001399
58	1	640.000242, 360.000046	0.000008, 0.000002	0.000000, 0.000000
58	2	819.908579, 485.558500	-0.641826, 2.037847	-0.008623, -0.005899
58	3	951.779083, 461.674832	-0.274289, 1.724935	-0.004435, -0.001420
59	1	640.000250, 360.000048	0.000008, 0.000002	0.000000, 0.000000
59	2	819.258235, 487.590401	-0.650344, 2.031902	-0.008519, -0.005945
59	3	951.500374, 463.398325	-0.278709, 1.723493	-0.004420, -0.001441
60	1	640.000258, 360.000050	0.000008, 0.000002	0.000000, 0.000000
60	2	818.599477, 489.616314	-0.658758, 2.025913	-0.008414, -0.005989
60	3	951.217259, 465.120356	-0.283115, 1.722031	-0.004405, -0.001462
61	1	640.000266, 360.000053	0.000008, 0.000002	0.000000, 0.000000
61	2	817.932409, 491.636196	-0.667068, 2.019882	-0.008310, -0.006031
61	3	950.929754, 466.840905	-0.287505, 1.720549	-0.004390, -0.001483
62	1	640.000274, 360.000055	0.000008, 0.000002	0.000000, 0.000000
62	2	817.257136, 493.650008	-0.675273, 2.013812	-0.008205, -0.006070
62	3	950.637875, 468.559950	-0.291880, 1.719045	-0.004375, -0.001503
63	1	640.000283, 360.000058	0.000008, 0.000003	0.000000, 0.000000
63	2	816.573762, 495.657712	-0.683374, 2.007704	-0.008101, -0.006108
63	3	950.341636, 470.277472	-0.296239, 1.717522	-0.004359, -0.001523
64	1	640.000291, 360.000060	0.000008, 0.000003	0.000000, 0.000000
64	2	815.882391, 497.659272	-0.691371, 2.001560	-0.007997, -0.006144
64	3	950.041053, 471.993451	-0.300583, 1.715979	-0.004344, -0.001543
65	1	640.000299, 360.000063	0.000009, 0.000003	0.000000, 0.000000
65	2	815.183128, 499.654654	-0.699263, 1.995382	-0.007893, -0.006178
65	3	949.736142, 473.707866	-0.304911, 1.714416	-0.004328, -0.001563
66	1	640.000308, 360.000066	0.000009, 0.000003	0.000000, 0.000000
66	2	814.476075, 501.643827	-0.707053, 1.989173	-0.007789, -0.006210
66	3	949.426920, 475.420699	-0.309222, 1.712833	-0.004312, -0.001583
67	1	640.000317, 360.000068	0.000009, 0.000003	0.000000, 0.000000
67	2	813.761337, 503.626760	-0.714739, 1.982933	-0.007686, -0.006240
67	3	949.113402, 477.131930	-0.313518, 1.711231	-0.004296, -0.001602
68	1	640.000326, 360.000071	0.000009, 0.000003	0.000000, 0.000000
68	2	813.039015, 505.603424	-0.722322, 1.976665	-0.007583, -0.006268
68	3	948.795605, 478.841539	-0.317797, 1.709609	-0.004279, -0.001621
69	1	640.000335, 360.000074	0.000009, 0.000003	0.000000, 0.000000
69	2	812.309213, 507.573794	-0.729802, 1.970370	-0.007480, -0.006295
69	3	948.473545, 480.549508	-0.322060, 1.707969	-0.004263, -0.001640
70	1	640.000344, 360.000077	0.000009, 0.000003	0.000000, 0.000000
70	2	811.572032, 509.537845	-0.737181, 1.964051	-0.007378, -0.006319
70	3	948.147240, 482.255818	-0.326306, 1.706310	-0.004246, -0.001659
71	1	640.000353, 360.000080	0.000009, 0.000003	0.000000, 0.000000
71	2	810.827575, 511.495553	-0.744457, 1.957708	-0.007277, -0.006342
71	3	947.816705, 483.960450	-0.330535, 1.704632	-0.004229, -0.001678
72	1	640.000362, 360.000084	0.000009, 0.000003	0.000000, 0.000000
72	2	810.075942, 513.446898	-0.751633, 1.951345	-0.007176, -0.006364
72	3	947.481958, 485.663386	-0.334747, 1.702936	-0.004212, -0.001696
73	1	640.000371, 360.000087	0.000009, 0.000003	0.000000, 0.000000
73	2	809.317235, 515.391860	-0.758708, 1.944962	-0.007075, -0.006383
73	3	947.143016, 487.364608	-0.338942, 1.701222	-0.004195, -0.001714
74	1	640.000380, 360.000090	0.000009, 0.000003	0.000000, 0.000000
74	2	808.551552, 517.330420	-0.765682, 1.938560	-0.006975, -0.006401
74	3	946.799897, 489.064097	-0.343120, 1.699489	-0.004178, -0.001732
75	1	640.000390, 360.000094	0.000009, 0.000003	0.000000, 0.000000
75	2	807.778995, 519.262563	-0.772558, 1.932143	-0.006875, -0.006418
75	3	946.452617, 490.761836	-0.347280, 1.697739	-0.004160, -0.001750
76	1	640.000399, 360.000097	0.000010, 0.000003	0.000000, 0.000000
76	2	806.999661, 521.188273	-0.779334, 1.925710	-0.006776, -0.006433
76	3	946.101194, 492.457808	-0.351423, 1.695972	-0.004143, -0.001768
77	1	640.000409, 360.000101	0.000010, 0.000004	0.000000, 0.000000
77	2	806.213649, 523.107537	-0.786012, 1.919264	-0.006678, -0.006446
77	3	945.745645, 494.151995	-0.355548, 1.694187	-0.004125, -0.001785
78	1	640.000419, 360.000104	0.000010, 0.000004	0.000000, 0.000000
78	2	805.421056, 525.020343	-0.792592, 1.912807	-0.006580, -0.006458
78	3	945.385989, 495.844380	-0.359656, 1.692385	-0.004108, -0.001802
79	1	640.000429, 360.000108	0.000010, 0.000004	0.000000, 0.000000
79	2	804.621980, 526.926682	-0.799076, 1.906339	-0.006484, -0.006468
79	3	945.022244, 497.534945	-0.363745, 1.690566	-0.004090, -0.001819
80	1	640.000439, 360.000112	0.000010, 0.000004	0.000000, 0.000000
80	2	803.816517, 528.826543	-0.805463, 1.899862	-0.006387, -0.006477
80	3	944.654427, 499.223675	-0.367817, 1.688730	-0.004072, -0.001836
81	1	640.000449, 360.000115	0.000010, 0.000004	0.000000, 0.000000
81	2	803.004762, 530.719921	-0.811755, 1.893377	-0.006292, -0.006484
81	3	944.282556, 500.910553	-0.371871, 1.686878	-0.004053, -0.001852
82	1	640.000459, 360.000119	0.000010, 0.000004	0.000000, 0.000000
82	2	802.186809, 532.606807	-0.817953, 1.886886	-0.006197, -0.006491
82	3	943.906650, 502.595562	-0.375906, 1.685009	-0.004035, -0.001869
83	1	640.000469, 360.000123	0.000010, 0.000004	0.000000, 0.000000
83	2	801.362753, 534.487198	-0.824056, 1.880391	-0.006103, -0.006496
83	3	943.526728, 504.278686	-0.379923, 1.683125	-0.004017, -0.001885
84	1	640.000479, 360.000127	0.000010, 0.000004	0.000000, 0.000000
84	2	800.532687, 536.361090	-0.830066, 1.873892	-0.006010, -0.006499
84	3	943.142807, 505.959910	-0.383921, 1.681224	-0.003998, -0.001900
85	1	640.000489, 360.000131	0.000010, 0.000004	0.000000, 0.000000
85	2	799.696704, 538.228480	-0.835984, 1.867390	-0.005918, -0.006501
85	3	942.754905, 507.639218	-0.387901, 1.679308	-0.003980, -0.001916
86	1	640.000500, 360.000136	0.000010, 0.000004	0.000000, 0.000000
86	2	798.854894, 540.089368	-0.841810, 1.860888	-0.005826, -0.006502
86	3	942.363043, 509.316595	-0.391862, 1.677376	-0.003961, -0.001932
87	1	640.000510, 360.000140	0.000010, 0.000004	0.000000, 0.000000
87	2	798.007349, 541.943753	-0.847545, 1.854386	-0.005736, -0.006502
87	3	941.967238, 510.992024	-0.395805, 1.675430	-0.003943, -0.001947
88	1	640.000521, 360.000144	0.000011, 0.000004	0.000000, 0.000000
88	2	797.154158, 543.791638	-0.853191, 1.847885	-0.005646, -0.006501
