Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
121	3	926.302503, 566.703630	-0.518235, 1.601694	-0.003271, -0.002339
122	1	640.000917, 360.000337	0.000013, 0.000007	0.000000, 0.000000
122	2	765.368697, 602.822168	-0.998127, 1.633932	-0.003130, -0.005974
122	3	925.781017, 568.302977	-0.521486, 1.599346	-0.003251, -0.002347
123	1	640.000930, 360.000344	0.000013, 0.000007	0.000000, 0.000000
123	2	764.367499, 604.450150	-1.001198, 1.627982	-0.003071, -0.005949
123	3	925.256300, 569.899968	-0.524717, 1.596991	-0.003231, -0.002355
124	1	640.000943, 360.000351	0.000013, 0.000007	0.000000, 0.000000
124	2	763.363287, 606.072208	-1.004212, 1.622058	-0.003014, -0.005924
124	3	924.728372, 571.494597	-0.527928, 1.594629	-0.003211, -0.002363
125	1	640.000955, 360.000358	0.000013, 0.000007	0.000000, 0.000000
125	2	762.356117, 607.688367	-1.007169, 1.616159	-0.002957, -0.005899
125	3	924.197253, 573.086856	-0.531119, 1.592259	-0.003191, -0.002370
126	1	640.000968, 360.000365	0.000013, 0.000007	0.000000, 0.000000
126	2	761.346046, 609.298652	-1.010071, 1.610285	-0.002901, -0.005874
126	3	923.662964, 574.676738	-0.534290, 1.589882	-0.003171, -0.002377
127	1	640.000981, 360.000372	0.000013, 0.000007	0.000000, 0.000000
127	2	760.333129, 610.903089	-1.012917, 1.604437	-0.002846, -0.005848
127	3	923.125524, 576.264235	-0.537440, 1.587497	-0.003151, -0.002384
128	1	640.000994, 360.000379	0.000013, 0.000007	0.000000, 0.000000
128	2	759.317420, 612.501704	-1.015710, 1.598615	-0.002792, -0.005822
128	3	922.584953, 577.849342	-0.540571, 1.585106	-0.003131, -0.002391
129	1	640.001007, 360.000387	0.000013, 0.000007	0.000000, 0.000000
129	2	758.298971, 614.094522	-1.018448, 1.592818	-0.002739, -0.005796
129	3	922.041272, 579.432050	-0.543681, 1.582709	-0.003111, -0.002398
130	1	640.001020, 360.000394	0.000013, 0.000007	0.000000, 0.000000
130	2	757.277836, 615.681570	-1.021135, 1.587048	-0.002686, -0.005770
130	3	921.494500, 581.012354	-0.546772, 1.580304	-0.003091, -0.002404
131	1	640.001033, 360.000402	0.000013, 0.000007	0.000000, 0.000000
131	2	756.254067, 617.262875	-1.023769, 1.581305	-0.002634, -0.005744
131	3	920.944657, 582.590248	-0.549842, 1.577894	-0.003071, -0.002411
132	1	640.001046, 360.000409	0.000013, 0.000008	0.000000, 0.000000
132	2	755.227715, 618.838463	-1.026352, 1.575588	-0.002583, -0.005717
132	3	920.391764, 584.165725	-0.552893, 1.575477	-0.003051, -0.002417
133	1	640.001059, 360.000417	0.000013, 0.000008	0.000000, 0.000000
133	2	754.198829, 620.408360	-1.028885, 1.569897	-0.002533, -0.005690
133	3	919.835841, 585.738779	-0.555924, 1.573054	-0.003031, -0.002423
134	1	640.001072, 360.000424	0.000013, 0.000008	0.000000, 0.000000
134	2	753.167460, 621.972594	-1.031369, 1.564234	-0.002484, -0.005663
134	3	919.276906, 587.309404	-0.558934, 1.570626	-0.003011, -0.002429
135	1	640.001085, 360.000432	0.000013, 0.000008	0.000000, 0.000000
135	2	752.133657, 623.531192	-1.033804, 1.558598	-0.002435, -0.005636
135	3	918.714981, 588.877596	-0.561925, 1.568191	-0.002991, -0.002434
136	1	640.001098, 360.000440	0.000013, 0.000008	0.000000, 0.000000
136	2	751.097466, 625.084180	-1.036190, 1.552988	-0.002387, -0.005609
136	3	918.150084, 590.443347	-0.564896, 1.565752	-0.002971, -0.002440
137	1	640.001111, 360.000448	0.000013, 0.000008	0.000000, 0.000000
137	2	750.058937, 626.631586	-1.038530, 1.547406	-0.002339, -0.005582
137	3	917.582237, 592.006654	-0.567848, 1.563307	-0.002951, -0.002445
138	1	640.001125, 360.000456	0.000013, 0.000008	0.000000, 0.000000
138	2	749.018114, 628.173438	-1.040822, 1.541852	-0.002293, -0.005555
138	3	917.011458, 593.567511	-0.570779, 1.560857	-0.002931, -0.002450
139	1	640.001138, 360.000464	0.000013, 0.000008	0.000000, 0.000000
139	2	747.975045, 629.709762	-1.043069, 1.536324	-0.002247, -0.005527
139	3	916.437767, 595.125913	-0.573691, 1.558402	-0.002912, -0.002455
140	1	640.001151, 360.000472	0.000013, 0.000008	0.000000, 0.000000
140	2	746.929774, 631.240587	-1.045271, 1.530825	-0.002202, -0.005500
140	3	915.861184, 596.681855	-0.576583, 1.555942	-0.002892, -0.002460
141	1	640.001165, 360.000480	0.000013, 0.000008	0.000000, 0.000000
141	2	745.882346, 632.765939	-1.047428, 1.525352	-0.002157, -0.005472
141	3	915.281729, 598.235333	-0.579455, 1.553478	-0.002872, -0.002464
142	1	640.001178, 360.000489	0.000013, 0.000008	0.000000, 0.000000
142	2	744.832804, 634.285847	-1.049541, 1.519908	-0.002113, -0.005445
142	3	914.699421, 599.786343	-0.582308, 1.551009	-0.002853, -0.002469
143	1	640.001192, 360.000497	0.000013, 0.000008	0.000000, 0.000000
143	2	743.781193, 635.800338	-1.051612, 1.514491	-0.002070, -0.005417
143	3	914.114280, 601.334879	-0.585141, 1.548536	-0.002833, -0.002473
144	1	640.001205, 360.000505	0.000013, 0.000008	0.000000, 0.000000
144	2	742.727553, 637.309440	-1.053639, 1.509102	-0.002028, -0.005389
144	3	913.526325, 602.880938	-0.587955, 1.546059	-0.002814, -0.002477
145	1	640.001219, 360.000514	0.000014, 0.000008	0.000000, 0.000000
145	2	741.671928, 638.813181	-1.055625, 1.503741	-0.001986, -0.005361
145	3	912.935576, 604.424516	-0.590749, 1.543578	-0.002794, -0.002481
146	1	640.001232, 360.000522	0.000014, 0.000009	0.000000, 0.000000
146	2	740.614358, 640.311588	-1.057570, 1.498407	-0.001945, -0.005334
146	3	912.342051, 605.965610	-0.593524, 1.541093	-0.002775, -0.002485
147	1	640.001246, 360.000531	0.000014, 0.000009	0.000000, 0.000000
147	2	739.554883, 641.804689	-1.059475, 1.493101	-0.001904, -0.005306
147	3	911.745771, 607.504214	-0.596280, 1.538605	-0.002756, -0.002489
148	1	640.001259, 360.000539	0.000014, 0.000009	0.000000, 0.000000
148	2	738.493544, 643.292512	-1.061339, 1.487823	-0.001864, -0.005278
148	3	911.146755, 609.040327	-0.599016, 1.536113	-0.002736, -0.002492
149	1	640.001273, 360.000548	0.000014, 0.000009	0.000000, 0.000000
149	2	737.430380, 644.775086	-1.063164, 1.482573	-0.001825, -0.005250
149	3	910.545022, 610.573944	-0.601733, 1.533617	-0.002717, -0.002495
150	1	640.001287, 360.000557	0.000014, 0.000009	0.000000, 0.000000
150	2	736.365429, 646.252437	-1.064951, 1.477351	-0.001787, -0.005222
150	3	909.940591, 612.105063	-0.604431, 1.531119	-0.002698, -0.002499
151	1	640.001300, 360.000566	0.000014, 0.000009	0.000000, 0.000000
151	2	735.298730, 647.724593	-1.066699, 1.472157	-0.001749, -0.005194
151	3	909.333482, 613.633680	-0.607110, 1.528617	-0.002679, -0.002502
152	1	640.001314, 360.000575	0.000014, 0.000009	0.000000, 0.000000
152	2	734.230320, 649.191583	-1.068411, 1.466990	-0.001711, -0.005167
152	3	908.723712, 615.159793	-0.609769, 1.526113	-0.002660, -0.002504
153	1	640.001328, 360.000584	0.000014, 0.000009	0.000000, 0.000000
153	2	733.160235, 650.653434	-1.070085, 1.461851	-0.001674, -0.005139
153	3	908.111302, 616.683399	-0.612410, 1.523606	-0.002641, -0.002507
154	1	640.001342, 360.000593	0.000014, 0.000009	0.000000, 0.000000
154	2	732.088512, 652.110174	-1.071723, 1.456740	-0.001638, -0.005111
154	3	907.496271, 618.204495	-0.615032, 1.521096	-0.002622, -0.002510
155	1	640.001355, 360.000602	0.000014, 0.000009	0.000000, 0.000000
155	2	731.015186, 653.561831	-1.073325, 1.451656	-0.001602, -0.005083
155	3	906.878636, 619.723079	-0.617634, 1.518584	-0.002603, -0.002512
156	1	640.001369, 360.000611	0.000014, 0.000009	0.000000, 0.000000
156	2	729.940293, 655.008431	-1.074893, 1.446601	-0.001567, -0.005056
156	3	906.258418, 621.239148	-0.620218, 1.516069	-0.002584, -0.002515
157	1	640.001383, 360.000620	0.000014, 0.000009	0.000000, 0.000000
157	2	728.863868, 656.450004	-1.076426, 1.441573	-0.001533, -0.005028
157	3	905.635634, 622.752700	-0.622784, 1.513552	-0.002565, -0.002517
158	1	640.001397, 360.000629	0.000014, 0.000009	0.000000, 0.000000
158	2	727.785943, 657.886576	-1.077925, 1.436572	-0.001499, -0.005001
158	3	905.010304, 624.263734	-0.625330, 1.511034	-0.002547, -0.002519
159	1	640.001411, 360.000639	0.000014, 0.000009	0.000000, 0.000000
159	2	726.706553, 659.318175	-1.079390, 1.431599	-0.001465, -0.004973
159	3	904.382446, 625.772247	-0.627858, 1.508513	-0.002528, -0.002521
160	1	640.001425, 360.000648	0.000014, 0.000009	0.000000, 0.000000
160	2	725.625730, 660.744828	-1.080823, 1.426653	-0.001433, -0.004946
160	3	903.752079, 627.278238	-0.630367, 1.505991	-0.002509, -0.002522
161	1	640.001439, 360.000658	0.000014, 0.000009	0.000000, 0.000000
161	2	724.543508, 662.166564	-1.082223, 1.421735	-0.001400, -0.004918
161	3	903.119220, 628.781705	-0.632858, 1.503467	-0.002491, -0.002524
162	1	640.001453, 360.000667	0.000014, 0.000010	0.000000, 0.000000
162	2	723.459917, 663.583408	-1.083591, 1.416844	-0.001368, -0.004891
162	3	902.483889, 630.282646	-0.635331, 1.500941	-0.002472, -0.002526
163	1	640.001467, 360.000677	0.000014, 0.000010	0.000000, 0.000000
163	2	722.374989, 664.995389	-1.084928, 1.411981	-0.001337, -0.004864
163	3	901.846104, 631.781060	-0.637785, 1.498414	-0.002454, -0.002527
164	1	640.001481, 360.000686	0.000014, 0.000010	0.000000, 0.000000
164	2	721.288755, 666.402533	-1.086234, 1.407144	-0.001306, -0.004836
164	3	901.205884, 633.276946	-0.640221, 1.495886	-0.002436, -0.002528
165	1	640.001495, 360.000696	0.000014, 0.000010	0.000000, 0.000000
165	2	720.201245, 667.804869	-1.087510, 1.402335	-0.001276, -0.004809
165	3	900.563245, 634.770303	-0.642638, 1.493357	-0.002418, -0.002529
166	1	640.001509, 360.000706	0.000014, 0.000010	0.000000, 0.000000
166	2	719.112489, 669.202422	-1.088756, 1.397553	-0.001246, -0.004782
166	3	899.918207, 636.261130	-0.645038, 1.490827	-0.002400, -0.002530
167	1	640.001523, 360.000716	0.000014, 0.000010	0.000000, 0.000000
167	2	718.022516, 670.595219	-1.089972, 1.392798	-0.001217, -0.004755
167	3	899.270788, 637.749426	-0.647419, 1.488296	-0.002381, -0.002531
168	1	640.001538, 360.000726	0.000014, 0.000010	0.000000, 0.000000
168	2	716.931356, 671.983288	-1.091160, 1.388069	-0.001188, -0.004728
168	3	898.621005, 639.235190	-0.649783, 1.485764	-0.002363, -0.002532
169	1	640.001552, 360.000735	0.000014, 0.000010	0.000000, 0.000000
169	2	715.839037, 673.366656	-1.092319, 1.383367	-0.001159, -0.004702
169	3	897.968876, 640.718422	-0.652129, 1.483232	-0.002346, -0.002532
170	1	640.001566, 360.000745	0.000014, 0.000010	0.000000, 0.000000
170	2	714.745586, 674.745348	-1.093451, 1.378692	-0.001131, -0.004675
170	3	897.314420, 642.199121	-0.654456, 1.480699	-0.002328, -0.002533
171	1	640.001580, 360.000756	0.000014, 0.000010	0.000000, 0.000000
171	2	713.651031, 676.119392	-1.094555, 1.374044	-0.001104, -0.004649
171	3	896.657654, 643.677286	-0.656766, 1.478166	-0.002310, -0.002533
172	1	640.001594, 360.000766	0.000014, 0.000010	0.000000, 0.000000
172	2	712.555400, 677.488813	-1.095631, 1.369422	-0.001077, -0.004622
172	3	895.998595, 645.152918	-0.659059, 1.475632	-0.002292, -0.002534
173	1	640.001609, 360.000776	0.000014, 0.000010	0.000000, 0.000000
173	2	711.458718, 678.853639	-1.096682, 1.364826	-0.001050, -0.004596
173	3	895.337262, 646.626016	-0.661333, 1.473098	-0.002275, -0.002534
174	1	640.001623, 360.000786	0.000014, 0.000010	0.000000, 0.000000
174	2	710.361013, 680.213896	-1.097706, 1.360256	-0.001024, -0.004569
174	3	894.673671, 648.096581	-0.663591, 1.470565	-0.002257, -0.002534
175	1	640.001637, 360.000796	0.000014, 0.000010	0.000000, 0.000000
175	2	709.262309, 681.569609	-1.098704, 1.355713	-0.000998, -0.004543
175	3	894.007840, 649.564612	-0.665831, 1.468031	-0.002240, -0.002534
176	1	640.001652, 360.000807	0.000014, 0.000010	0.000000, 0.000000
176	2	708.162632, 682.920805	-1.099677, 1.351196	-0.000973, -0.004517
176	3	893.339787, 651.030110	-0.668053, 1.465498	-0.002222, -0.002533
177	1	640.001666, 360.000817	0.000014, 0.000010	0.000000, 0.000000
177	2	707.062007, 684.267509	-1.100625, 1.346704	-0.000948, -0.004491
177	3	892.669529, 652.493074	-0.670258, 1.462965	-0.002205, -0.002533
178	1	640.001680, 360.000828	0.000014, 0.000010	0.000000, 0.000000
178	2	705.960459, 685.609748	-1.101548, 1.342239	-0.000923, -0.004466
178	3	891.997083, 653.953506	-0.672446, 1.460432	-0.002188, -0.002533
179	1	640.001695, 360.000838	0.000014, 0.000011	0.000000, 0.000000
179	2	704.858012, 686.947547	-1.102447, 1.337799	-0.000899, -0.004440
179	3	891.322465, 655.411406	-0.674617, 1.457900	-0.002171, -0.002532
180	1	640.001709, 360.000849	0.000014, 0.000011	0.000000, 0.000000
180	2	703.754689, 688.280931	-1.103323, 1.333384	-0.000876, -0.004414
180	3	890.645694, 656.866774	-0.676771, 1.455368	-0.002154, -0.002532
181	1	640.001724, 360.000859	0.000014, 0.000011	0.000000, 0.000000
181	2	702.650513, 689.609926	-1.104175, 1.328995	-0.000852, -0.004389
181	3	889.966786, 658.319611	-0.678908, 1.452837	-0.002137, -0.002531
182	1	640.001738, 360.000870	0.000014, 0.000011	0.000000, 0.000000
182	2	701.545509, 690.934558	-1.105005, 1.324632	-0.000829, -0.004364
182	3	889.285758, 659.769918	-0.681028, 1.450307	-0.002120, -0.002530
183	1	640.001753, 360.000881	0.000014, 0.000011	0.000000, 0.000000
183	2	700.439697, 692.254851	-1.105811, 1.320293	-0.000807, -0.004339
183	3	888.602626, 661.217696	-0.683132, 1.447778	-0.002103, -0.002529
184	1	640.001767, 360.000892	0.000014, 0.000011	0.000000, 0.000000
184	2	699.333101, 693.570831	-1.106596, 1.315980	-0.000785, -0.004313
184	3	887.917408, 662.662946	-0.685218, 1.445250	-0.002087, -0.002528
185	1	640.001782, 360.000903	0.000015, 0.000011	0.000000, 0.000000
185	2	698.225742, 694.882522	-1.107359, 1.311691	-0.000763, -0.004289
185	3	887.230120, 664.105669	-0.687288, 1.442723	-0.002070, -0.002527
186	1	640.001796, 360.000913	0.000015, 0.000011	0.000000, 0.000000
186	2	697.117642, 696.189949	-1.108100, 1.307427	-0.000741, -0.004264
186	3	886.540778, 665.545866	-0.689342, 1.440197	-0.002054, -0.002526
187	1	640.001811, 360.000924	0.000015, 0.000011	0.000000, 0.000000
187	2	696.008822, 697.493138	-1.108820, 1.303188	-0.000720, -0.004239
187	3	885.849399, 666.983538	-0.691379, 1.437673	-0.002037, -0.002524
188	1	640.001825, 360.000935	0.000015, 0.000011	0.000000, 0.000000
188	2	694.899303, 698.792112	-1.109519, 1.298974	-0.000699, -0.004214
188	3	885.156000, 668.418688	-0.693400, 1.435150	-0.002021, -0.002523
189	1	640.001840, 360.000947	0.000015, 0.000011	0.000000, 0.000000
189	2	693.789105, 700.086895	-1.110198, 1.294784	-0.000679, -0.004190
189	3	884.460595, 669.851316	-0.695404, 1.432628	-0.002005, -0.002522
190	1	640.001854, 360.000958	0.000015, 0.000011	0.000000, 0.000000
190	2	692.678247, 701.377513	-1.110857, 1.290618	-0.000659, -0.004166
190	3	883.763203, 671.281424	-0.697393, 1.430108	-0.001988, -0.002520
191	1	640.001869, 360.000969	0.000015, 0.000011	0.000000, 0.000000
191	2	691.566751, 702.663990	-1.111496, 1.286476	-0.000639, -0.004142
191	3	883.063838, 672.709013	-0.699365, 1.427590	-0.001972, -0.002518
192	1	640.001884, 360.000980	0.000015, 0.000011	0.000000, 0.000000
192	2	690.454636, 703.946348	-1.112116, 1.282359	-0.000620, -0.004118
192	3	882.362517, 674.134086	-0.701321, 1.425073	-0.001956, -0.002517
193	1	640.001898, 360.000991	0.000015, 0.000011	0.000000, 0.000000
193	2	689.341920, 705.224613	-1.112716, 1.278265	-0.000600, -0.004094
193	3	881.659256, 675.556644	-0.703261, 1.422558	-0.001940, -0.002515
194	1	640.001913, 360.001003	0.000015, 0.000011	0.000000, 0.000000
194	2	688.228622, 706.498808	-1.113298, 1.274195	-0.000582, -0.004070
194	3	880.954070, 676.976690	-0.705186, 1.420045	-0.001925, -0.002513
195	1	640.001928, 360.001014	0.000015, 0.000011	0.000000, 0.000000
195	2	687.114761, 707.768957	-1.113861, 1.270148	-0.000563, -0.004046
195	3	880.246975, 678.394224	-0.707095, 1.417535	-0.001909, -0.002511
196	1	640.001942, 360.001026	0.000015, 0.000011	0.000000, 0.000000
196	2	686.000355, 709.035082	-1.114406, 1.266126	-0.000545, -0.004023
196	3	879.537987, 679.809250	-0.708988, 1.415026	-0.001893, -0.002509
197	1	640.001957, 360.001037	0.000015, 0.000012	0.000000, 0.000000
197	2	684.885422, 710.297208	-1.114933, 1.262126	-0.000527, -0.004000
197	3	878.827122, 681.221769	-0.710865, 1.412519	-0.001878, -0.002507
198	1	640.001972, 360.001049	0.000015, 0.000012	0.000000, 0.000000
198	2	683.769980, 711.555358	-1.115442, 1.258149	-0.000509, -0.003976
198	3	878.114394, 682.631784	-0.712727, 1.410015	-0.001862, -0.002504
199	1	640.001986, 360.001060	0.000015, 0.000012	0.000000, 0.000000
199	2	682.654046, 712.809554	-1.115934, 1.254196	-0.000492, -0.003953
199	3	877.399820, 684.039297	-0.714574, 1.407513	-0.001847, -0.002502
200	1	640.002001, 360.001072	0.000015, 0.000012	0.000000, 0.000000
200	2	681.537636, 714.059820	-1.116409, 1.250266	-0.000475, -0.003930
200	3	876.683415, 685.444310	-0.716406, 1.405013	-0.001831, -0.002500
201	1	640.002016, 360.001084	0.000015, 0.000012	0.000000, 0.000000
201	2	680.420768, 715.306178	-1.116868, 1.246358	-0.000458, -0.003908
201	3	875.965193, 686.846826	-0.718222, 1.402516	-0.001816, -0.002497
202	1	640.002031, 360.001096	0.000015, 0.000012	0.000000, 0.000000
202	2	679.303459, 716.548651	-1.117310, 1.242473	-0.000442, -0.003885
202	3	875.245170, 688.246847	-0.720023, 1.400021	-0.001801, -0.002495
203	1	640.002046, 360.001107	0.000015, 0.000012	0.000000, 0.000000
203	2	678.185723, 717.787261	-1.117735, 1.238611	-0.000426, -0.003863
203	3	874.523361, 689.644377	-0.721809, 1.397529	-0.001786, -0.002492
204	1	640.002060, 360.001119	0.000015, 0.000012	0.000000, 0.000000
204	2	677.067578, 719.022032	-1.118145, 1.234770	-0.000410, -0.003840
204	3	873.799781, 691.039417	-0.723580, 1.395040	-0.001771, -0.002489
205	1	640.002075, 360.001131	0.000015, 0.000012	0.000000, 0.000000
205	2	675.949039, 720.252984	-1.118539, 1.230952	-0.000394, -0.003818
205	3	873.074444, 692.431970	-0.725336, 1.392554	-0.001756, -0.002487
206	1	640.002090, 360.001143	0.000015, 0.000012	0.000000, 0.000000
206	2	674.830121, 721.480141	-1.118918, 1.227157	-0.000379, -0.003796
206	3	872.347366, 693.822040	-0.727078, 1.390070	-0.001742, -0.002484
207	1	640.002105, 360.001155	0.000015, 0.000012	0.000000, 0.000000
207	2	673.710839, 722.703524	-1.119282, 1.223383	-0.000364, -0.003774
207	3	871.618561, 695.209629	-0.728805, 1.387589	-0.001727, -0.002481
208	1	640.002120, 360.001167	0.000015, 0.000012	0.000000, 0.000000
208	2	672.591209, 723.923154	-1.119630, 1.219631	-0.000349, -0.003752
208	3	870.888044, 696.594740	-0.730517, 1.385111	-0.001712, -0.002478
209	1	640.002135, 360.001179	0.000015, 0.000012	0.000000, 0.000000
209	2	671.471245, 725.139055	-1.119964, 1.215900	-0.000334, -0.003730
209	3	870.155830, 697.977377	-0.732215, 1.382636	-0.001698, -0.002475
210	1	640.002149, 360.001192	0.000015, 0.000012	0.000000, 0.000000
210	2	670.350961, 726.351246	-1.120284, 1.212192	-0.000320, -0.003709
210	3	869.421931, 699.357541	-0.733898, 1.380165	-0.001683, -0.002472
211	1	640.002164, 360.001204	0.000015, 0.000012	0.000000, 0.000000
211	2	669.230372, 727.559751	-1.120589, 1.208504	-0.000305, -0.003687
211	3	868.686364, 700.735237	-0.735567, 1.377696	-0.001669, -0.002469
212	1	640.002179, 360.001216	0.000015, 0.000012	0.000000, 0.000000
212	2	668.109491, 728.764589	-1.120881, 1.204838	-0.000291, -0.003666
212	3	867.949142, 702.110468	-0.737222, 1.375231	-0.001655, -0.002465
213	1	640.002194, 360.001228	0.000015, 0.000012	0.000000, 0.000000
213	2	666.988333, 729.965782	-1.121158, 1.201193	-0.000278, -0.003645
213	3	867.210280, 703.483236	-0.738863, 1.372768	-0.001641, -0.002462
214	1	640.002209, 360.001241	0.000015, 0.000012	0.000000, 0.000000
214	2	665.866910, 731.163350	-1.121423, 1.197569	-0.000264, -0.003624
214	3	866.469791, 704.853546	-0.740489, 1.370310	-0.001627, -0.002459
215	1	640.002224, 360.001253	0.000015, 0.000012	0.000000, 0.000000
215	2	664.745237, 732.357316	-1.121674, 1.193966	-0.000251, -0.003603
215	3	865.727689, 706.221400	-0.742102, 1.367854	-0.001613, -0.002455
216	1	640.002239, 360.001266	0.000015, 0.000012	0.000000, 0.000000
216	2	663.623325, 733.547699	-1.121912, 1.190383	-0.000238, -0.003582
216	3	864.983989, 707.586803	-0.743700, 1.365402	-0.001599, -0.002452
217	1	640.002254, 360.001278	0.000015, 0.000013	0.000000, 0.000000
217	2	662.501188, 734.734521	-1.122137, 1.186821	-0.000225, -0.003562
217	3	864.238703, 708.949757	-0.745285, 1.362954	-0.001585, -0.002448
218	1	640.002269, 360.001291	0.000015, 0.000013	0.000000, 0.000000
218	2	661.378839, 735.917801	-1.122349, 1.183280	-0.000213, -0.003541
218	3	863.491847, 710.310266	-0.746857, 1.360509	-0.001571, -0.002445
219	1	640.002284, 360.001303	0.000015, 0.000013	0.000000, 0.000000
219	2	660.256289, 737.097559	-1.122550, 1.179759	-0.000200, -0.003521
219	3	862.743433, 711.668334	-0.748414, 1.358068	-0.001558, -0.002441
220	1	640.002299, 360.001316	0.000015, 0.000013	0.000000, 0.000000
220	2	659.133551, 738.273817	-1.122738, 1.176258	-0.000188, -0.003501
220	3	861.993474, 713.023964	-0.749958, 1.355630	-0.001544, -0.002438
221	1	640.002314, 360.001329	0.000015, 0.000013	0.000000, 0.000000
221	2	658.010638, 739.446594	-1.122914, 1.172777	-0.000176, -0.003481
221	3	861.241985, 714.377160	-0.751489, 1.353196	-0.001531, -0.002434
222	1	640.002329, 360.001341	0.000015, 0.000013	0.000000, 0.000000
222	2	656.887560, 740.615910	-1.123078, 1.169316	-0.000164, -0.003461
222	3	860.488979, 715.727926	-0.753006, 1.350766	-0.001517, -0.002430
223	1	640.002344, 360.001354	0.000015, 0.000013	0.000000, 0.000000
223	2	655.764330, 741.781784	-1.123230, 1.165874	-0.000153, -0.003441
223	3	859.734469, 717.076266	-0.754510, 1.348340	-0.001504, -0.002426
224	1	640.002359, 360.001367	0.000015, 0.000013	0.000000, 0.000000
224	2	654.640958, 742.944237	-1.123372, 1.162453	-0.000141, -0.003422
224	3	858.978468, 718.422183	-0.756001, 1.345917	-0.001491, -0.002422
225	1	640.002374, 360.001380	0.000015, 0.000013	0.000000, 0.000000
225	2	653.517456, 744.103288	-1.123502, 1.159051	-0.000130, -0.003402
225	3	858.220989, 719.765682	-0.757479, 1.343499	-0.001478, -0.002419
226	1	640.002389, 360.001393	0.000015, 0.000013	0.000000, 0.000000
226	2	652.393836, 745.258956	-1.123621, 1.155668	-0.000119, -0.003383
226	3	857.462046, 721.106767	-0.758943, 1.341084	-0.001465, -0.002415
227	1	640.002404, 360.001406	0.000015, 0.000013	0.000000, 0.000000
227	2	651.270107, 746.411260	-1.123729, 1.152304	-0.000108, -0.003364
227	3	856.701651, 722.445440	-0.760395, 1.338674	-0.001452, -0.002411
228	1	640.002419, 360.001419	0.000015, 0.000013	0.000000, 0.000000
228	2	650.146281, 747.560220	-1.123826, 1.148960	-0.000097, -0.003344
228	3	855.939816, 723.781707	-0.761834, 1.336267	-0.001439, -0.002407
229	1	640.002434, 360.001432	0.000015, 0.000013	0.000000, 0.000000
229	2	649.022368, 748.705855	-1.123913, 1.145635	-0.000087, -0.003325
229	3	855.176556, 725.115572	-0.763260, 1.333865	-0.001426, -0.002402
230	1	640.002449, 360.001445	0.000015, 0.000013	0.000000, 0.000000
230	2	647.898378, 749.848183	-1.123990, 1.142328	-0.000077, -0.003307
230	3	854.411882, 726.447038	-0.764674, 1.331466	-0.001414, -0.002398
231	1	640.002464, 360.001458	0.000015, 0.000013	0.000000, 0.000000
231	2	646.774322, 750.987223	-1.124056, 1.139040	-0.000067, -0.003288
231	3	853.645807, 727.776111	-0.766075, 1.329072	-0.001401, -0.002394
232	1	640.002479, 360.001472	0.000015, 0.000013	0.000000, 0.000000
232	2	645.650209, 752.122994	-1.124113, 1.135771	-0.000057, -0.003269
232	3	852.878344, 729.102793	-0.767463, 1.326682	-0.001388, -0.002390
233	1	640.002494, 360.001485	0.000015, 0.000013	0.000000, 0.000000
233	2	644.526049, 753.255514	-1.124160, 1.132520	-0.000047, -0.003251
233	3	852.109504, 730.427090	-0.768839, 1.324297	-0.001376, -0.002386
234	1	640.002509, 360.001498	0.000015, 0.000013	0.000000, 0.000000
234	2	643.401852, 754.384801	-1.124197, 1.129287	-0.000037, -0.003232
234	3	851.339301, 731.749005	-0.770203, 1.321915	-0.001364, -0.002381
235	1	640.002524, 360.001511	0.000015, 0.000013	0.000000, 0.000000
235	2	642.277628, 755.510874	-1.124224, 1.126073	-0.000028, -0.003214
235	3	850.567747, 733.068543	-0.771555, 1.319538	-0.001351, -0.002377
236	1	640.002539, 360.001525	0.000015, 0.000013	0.000000, 0.000000
236	2	641.153385, 756.633751	-1.124243, 1.122877	-0.000018, -0.003196
236	3	849.794853, 734.385708	-0.772894, 1.317165	-0.001339, -0.002373
237	1	640.002555, 360.001538	0.000015, 0.000013	0.000000, 0.000000
237	2	640.029133, 757.753450	-1.124252, 1.119699	-0.000009, -0.003178
237	3	849.020632, 735.700506	-0.774221, 1.314797	-0.001327, -0.002368
238	1	640.002570, 360.001552	0.000015, 0.000013	0.000000, 0.000000
238	2	638.904881, 758.869988	-1.124252, 1.116538	-0.000000, -0.003160
238	3	848.245095, 737.012939	-0.775536, 1.312433	-0.001315, -0.002364
239	1	640.002585, 360.001565	0.000015, 0.000014	0.000000, 0.000000
239	2	637.780638, 759.983384	-1.124243, 1.113396	0.000009, -0.003143
239	3	847.468256, 738.323013	-0.776840, 1.310074	-0.001303, -0.002359
240	1	640.002600, 360.001579	0.000015, 0.000014	0.000000, 0.000000
240	2	636.656412, 761.093654	-1.124226, 1.110270	0.000017, -0.003125
240	3	846.690125, 739.630732	-0.778131, 1.307719	-0.001291, -0.002355
241	1	640.002615, 360.001592	0.000015, 0.000014	0.000000, 0.000000
241	2	635.532212, 762.200817	-1.124200, 1.107163	0.000026, -0.003108
241	3	845.910714, 740.936101	-0.779411, 1.305369	-0.001280, -0.002350
242	1	640.002630, 360.001606	0.000015, 0.000014	0.000000, 0.000000
242	2	634.408046, 763.304889	-1.124166, 1.104072	0.000034, -0.003090
242	3	845.130035, 742.239124	-0.780679, 1.303023	-0.001268, -0.002346
