Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
1007	3	416.503578, 130.401245	0.891608, -0.873625	0.003410, 0.003476
1008	1	640.004960, 360.021413	0.000011, 0.000028	-0.000000, 0.000000
1008	2	615.318973, 557.697266	-1.575970, -0.189742	0.001462, -0.012514
1008	3	417.398583, 129.531110	0.895005, -0.870136	0.003397, 0.003490
1009	1	640.004971, 360.021441	0.000011, 0.000028	-0.000000, 0.000000
1009	2	613.744564, 557.495022	-1.574409, -0.202244	0.001561, -0.012502
1009	3	418.296970, 128.664477	0.898387, -0.866633	0.003383, 0.003503
1010	1	640.004982, 360.021470	0.000011, 0.000029	-0.000000, 0.000000
1010	2	612.171816, 557.280288	-1.572748, -0.214733	0.001661, -0.012489
1010	3	419.198727, 127.801359	0.901757, -0.863117	0.003369, 0.003516
1011	1	640.004993, 360.021498	0.000011, 0.000029	-0.000000, 0.000000
1011	2	610.600828, 557.053079	-1.570988, -0.227209	0.001760, -0.012475
1011	3	420.103839, 126.941771	0.905112, -0.859588	0.003355, 0.003529
1012	1	640.005005, 360.021527	0.000011, 0.000029	-0.000000, 0.000000
1012	2	609.031700, 556.813410	-1.569128, -0.239670	0.001860, -0.012461
1012	3	421.012292, 126.085724	0.908454, -0.856047	0.003342, 0.003542
1013	1	640.005016, 360.021556	0.000011, 0.000029	-0.000000, 0.000000
1013	2	607.464530, 556.561295	-1.567169, -0.252115	0.001959, -0.012446
1013	3	421.924073, 125.233232	0.911781, -0.852492	0.003328, 0.003555
1014	1	640.005027, 360.021585	0.000011, 0.000029	-0.000000, 0.000000
1014	2	605.899419, 556.296750	-1.565112, -0.264545	0.002058, -0.012429
1014	3	422.839168, 124.384308	0.915095, -0.848924	0.003314, 0.003568
1015	1	640.005038, 360.021614	0.000011, 0.000029	-0.000000, 0.000000
1015	2	604.336464, 556.019793	-1.562955, -0.276957	0.002157, -0.012413
1015	3	423.757563, 123.538965	0.918395, -0.845344	0.003300, 0.003581
1016	1	640.005049, 360.021643	0.000011, 0.000029	-0.000000, 0.000000
1016	2	602.775765, 555.730440	-1.560699, -0.289352	0.002256, -0.012395
1016	3	424.679244, 122.697214	0.921681, -0.841750	0.003286, 0.003593
1017	1	640.005060, 360.021672	0.000011, 0.000029	-0.000000, 0.000000
1017	2	601.217420, 555.428712	-1.558345, -0.301728	0.002354, -0.012376
1017	3	425.604197, 121.859070	0.924953, -0.838144	0.003272, 0.003606
1018	1	640.005071, 360.021702	0.000011, 0.000029	-0.000000, 0.000000
1018	2	599.661529, 555.114626	-1.555892, -0.314086	0.002453, -0.012357
1018	3	426.532407, 121.024545	0.928210, -0.834525	0.003258, 0.003619
1019	1	640.005082, 360.021731	0.000011, 0.000029	-0.000000, 0.000000
1019	2	598.108188, 554.788204	-1.553341, -0.326423	0.002551, -0.012337
1019	3	427.463861, 120.193651	0.931454, -0.830894	0.003244, 0.003631
1020	1	640.005092, 360.021761	0.000011, 0.000030	-0.000000, 0.000000
1020	2	596.557496, 554.449465	-1.550691, -0.338739	0.002649, -0.012316
1020	3	428.398544, 119.366401	0.934683, -0.827250	0.003229, 0.003644
1021	1	640.005103, 360.021791	0.000011, 0.000030	-0.000000, 0.000000
1021	2	595.009553, 554.098432	-1.547944, -0.351033	0.002747, -0.012294
1021	3	429.336443, 118.542807	0.937898, -0.823594	0.003215, 0.003656
1022	1	640.005114, 360.021820	0.000011, 0.000030	-0.000000, 0.000000
1022	2	593.464454, 553.735127	-1.545099, -0.363305	0.002845, -0.012272
1022	3	430.277542, 117.722882	0.941099, -0.819925	0.003201, 0.003669
1023	1	640.005125, 360.021850	0.000011, 0.000030	-0.000000, 0.000000
1023	2	591.922298, 553.359573	-1.542156, -0.375554	0.002943, -0.012249
1023	3	431.221827, 116.906639	0.944286, -0.816243	0.003186, 0.003681
1024	1	640.005135, 360.021880	0.000011, 0.000030	-0.000000, 0.000000
1024	2	590.383182, 552.971794	-1.539116, -0.387779	0.003040, -0.012225
1024	3	432.169285, 116.094089	0.947458, -0.812550	0.003172, 0.003694
1025	1	640.005146, 360.021910	0.000011, 0.000030	-0.000000, 0.000000
1025	2	588.847204, 552.571815	-1.535978, -0.399979	0.003138, -0.012200
1025	3	433.119900, 115.285246	0.950615, -0.808844	0.003158, 0.003706
1026	1	640.005156, 360.021941	0.000011, 0.000030	-0.000000, 0.000000
1026	2	587.314460, 552.159662	-1.532744, -0.412153	0.003235, -0.012174
1026	3	434.073658, 114.480120	0.953758, -0.805126	0.003143, 0.003718
1027	1	640.005167, 360.021971	0.000011, 0.000030	-0.000000, 0.000000
1027	2	585.785048, 551.735361	-1.529412, -0.424301	0.003331, -0.012148
1027	3	435.030545, 113.678725	0.956887, -0.801395	0.003129, 0.003730
1028	1	640.005177, 360.022001	0.000010, 0.000030	-0.000000, 0.000000
1028	2	584.259064, 551.298939	-1.525984, -0.436422	0.003428, -0.012121
1028	3	435.990546, 112.881072	0.960001, -0.797653	0.003114, 0.003742
1029	1	640.005188, 360.022032	0.000010, 0.000031	-0.000000, 0.000000
1029	2	582.736605, 550.850423	-1.522460, -0.448515	0.003524, -0.012093
1029	3	436.953646, 112.087174	0.963100, -0.793898	0.003099, 0.003755
1030	1	640.005198, 360.022062	0.000010, 0.000031	-0.000000, 0.000000
1030	2	581.217765, 550.389843	-1.518839, -0.460580	0.003621, -0.012064
1030	3	437.919831, 111.297042	0.966185, -0.790132	0.003085, 0.003767
1031	1	640.005209, 360.022093	0.000010, 0.000031	-0.000000, 0.000000
1031	2	579.702643, 549.917229	-1.515123, -0.472615	0.003717, -0.012035
1031	3	438.889086, 110.510689	0.969255, -0.786353	0.003070, 0.003779
1032	1	640.005219, 360.022124	0.000010, 0.000031	-0.000000, 0.000000
1032	2	578.191333, 549.432609	-1.511310, -0.484620	0.003812, -0.012005
1032	3	439.861396, 109.728127	0.972310, -0.782563	0.003055, 0.003790
1033	1	640.005229, 360.022155	0.000010, 0.000031	-0.000000, 0.000000
1033	2	576.683930, 548.936015	-1.507403, -0.496593	0.003908, -0.011974
1033	3	440.836747, 108.949366	0.975350, -0.778760	0.003040, 0.003802
1034	1	640.005239, 360.022186	0.000010, 0.000031	-0.000000, 0.000000
1034	2	575.180530, 548.427480	-1.503400, -0.508536	0.004003, -0.011942
1034	3	441.815123, 108.174420	0.978376, -0.774946	0.003026, 0.003814
1035	1	640.005249, 360.022217	0.000010, 0.000031	-0.000000, 0.000000
1035	2	573.681228, 547.907035	-1.499302, -0.520445	0.004098, -0.011910
1035	3	442.796509, 107.403299	0.981387, -0.771121	0.003011, 0.003826
1036	1	640.005259, 360.022248	0.000010, 0.000031	-0.000000, 0.000000
1036	2	572.186118, 547.374713	-1.495110, -0.532322	0.004192, -0.011876
1036	3	443.780892, 106.636016	0.984382, -0.767283	0.002996, 0.003837
1037	1	640.005269, 360.022280	0.000010, 0.000031	-0.000000, 0.000000
1037	2	570.695295, 546.830549	-1.490823, -0.544164	0.004287, -0.011842
1037	3	444.768255, 105.872581	0.987363, -0.763434	0.002981, 0.003849
1038	1	640.005279, 360.022311	0.000010, 0.000031	-0.000000, 0.000000
1038	2	569.208853, 546.274578	-1.486442, -0.555971	0.004381, -0.011808
1038	3	445.758583, 105.113007	0.990329, -0.759574	0.002966, 0.003861
1039	1	640.005289, 360.022343	0.000010, 0.000032	-0.000000, 0.000000
1039	2	567.726885, 545.706834	-1.481967, -0.567744	0.004475, -0.011772
1039	3	446.751862, 104.357305	0.993279, -0.755702	0.002951, 0.003872
1040	1	640.005299, 360.022374	0.000010, 0.000032	-0.000000, 0.000000
1040	2	566.249486, 545.127355	-1.477399, -0.579479	0.004568, -0.011736
1040	3	447.748077, 103.605487	0.996215, -0.751818	0.002935, 0.003883
1041	1	640.005308, 360.022406	0.000010, 0.000032	-0.000000, 0.000000
1041	2	564.776748, 544.536177	-1.472738, -0.591178	0.004661, -0.011699
1041	3	448.747212, 102.857563	0.999135, -0.747924	0.002920, 0.003895
1042	1	640.005318, 360.022438	0.000010, 0.000032	-0.000000, 0.000000
1042	2	563.308765, 543.933338	-1.467984, -0.602839	0.004754, -0.011661
1042	3	449.749251, 102.113546	1.002040, -0.744018	0.002905, 0.003906
1043	1	640.005328, 360.022470	0.000010, 0.000032	-0.000000, 0.000000
1043	2	561.845628, 543.318876	-1.463137, -0.614462	0.004847, -0.011623
1043	3	450.754181, 101.373446	1.004930, -0.740100	0.002890, 0.003917
1044	1	640.005337, 360.022502	0.000010, 0.000032	-0.000000, 0.000000
1044	2	560.387431, 542.692831	-1.458197, -0.626045	0.004939, -0.011583
1044	3	451.761985, 100.637274	1.007804, -0.736172	0.002874, 0.003929
1045	1	640.005347, 360.022534	0.000009, 0.000032	-0.000000, 0.000000
1045	2	558.934265, 542.055243	-1.453166, -0.637588	0.005031, -0.011543
1045	3	452.772648, 99.905042	1.010663, -0.732232	0.002859, 0.003940
1046	1	640.005356, 360.022566	0.000009, 0.000032	-0.000000, 0.000000
1046	2	557.486222, 541.406152	-1.448043, -0.649091	0.005123, -0.011503
1046	3	453.786155, 99.176761	1.013507, -0.728281	0.002844, 0.003951
1047	1	640.005366, 360.022598	0.000009, 0.000032	-0.000000, 0.000000
1047	2	556.043392, 540.745600	-1.442829, -0.660552	0.005214, -0.011461
1047	3	454.802490, 98.452441	1.016335, -0.724320	0.002828, 0.003962
1048	1	640.005375, 360.022631	0.000009, 0.000032	-0.000000, 0.000000
1048	2	554.605868, 540.073629	-1.437524, -0.671971	0.005305, -0.011419
1048	3	455.821638, 97.732094	1.019148, -0.720347	0.002813, 0.003973
1049	1	640.005384, 360.022663	0.000009, 0.000032	-0.000000, 0.000000
1049	2	553.173740, 539.390282	-1.432128, -0.683347	0.005396, -0.011376
1049	3	456.843584, 97.015731	1.021945, -0.716363	0.002797, 0.003984
1050	1	640.005393, 360.022696	0.000009, 0.000033	-0.000000, 0.000000
1050	2	551.747098, 538.695602	-1.426642, -0.694680	0.005486, -0.011332
1050	3	457.868311, 96.303362	1.024727, -0.712369	0.002782, 0.003994
1051	1	640.005402, 360.022728	0.000009, 0.000033	-0.000000, 0.000000
1051	2	550.326032, 537.989634	-1.421066, -0.705968	0.005576, -0.011288
1051	3	458.895804, 95.594998	1.027493, -0.708364	0.002766, 0.004005
1052	1	640.005411, 360.022761	0.000009, 0.000033	-0.000000, 0.000000
1052	2	548.910631, 537.272424	-1.415401, -0.717211	0.005665, -0.011243
1052	3	459.926047, 94.890651	1.030244, -0.704348	0.002751, 0.004016
1053	1	640.005420, 360.022794	0.000009, 0.000033	-0.000000, 0.000000
1053	2	547.500985, 536.544016	-1.409646, -0.728408	0.005755, -0.011197
1053	3	460.959026, 94.190329	1.032979, -0.700321	0.002735, 0.004027
1054	1	640.005429, 360.022827	0.000009, 0.000033	-0.000000, 0.000000
1054	2	546.097182, 535.804457	-1.403803, -0.739559	0.005843, -0.011151
1054	3	461.994724, 93.494045	1.035698, -0.696284	0.002719, 0.004037
1055	1	640.005438, 360.022860	0.000009, 0.000033	-0.000000, 0.000000
1055	2	544.699311, 535.053794	-1.397871, -0.750662	0.005932, -0.011104
1055	3	463.033125, 92.801808	1.038401, -0.692237	0.002703, 0.004048
1056	1	640.005447, 360.022893	0.000009, 0.000033	-0.000000, 0.000000
1056	2	543.307461, 534.292076	-1.391851, -0.761718	0.006020, -0.011056
1056	3	464.074213, 92.113630	1.041088, -0.688179	0.002688, 0.004058
1057	1	640.005455, 360.022926	0.000009, 0.000033	-0.000000, 0.000000
1057	2	541.921717, 533.519351	-1.385743, -0.772725	0.006108, -0.011007
1057	3	465.117973, 91.429520	1.043760, -0.684110	0.002672, 0.004068
1058	1	640.005464, 360.022959	0.000009, 0.000033	-0.000000, 0.000000
1058	2	540.542169, 532.735668	-1.379548, -0.783683	0.006195, -0.010958
1058	3	466.164389, 90.749489	1.046416, -0.680031	0.002656, 0.004079
1059	1	640.005472, 360.022993	0.000008, 0.000033	-0.000000, 0.000000
1059	2	539.168902, 531.941077	-1.373267, -0.794591	0.006282, -0.010908
1059	3	467.213445, 90.073547	1.049056, -0.675942	0.002640, 0.004089
1060	1	640.005481, 360.023026	0.000008, 0.000033	-0.000000, 0.000000
1060	2	537.802004, 531.135629	-1.366899, -0.805448	0.006368, -0.010857
1060	3	468.265125, 89.401704	1.051680, -0.671843	0.002624, 0.004099
1061	1	640.005489, 360.023060	0.000008, 0.000034	-0.000000, 0.000000
1061	2	536.441559, 530.319376	-1.360444, -0.816254	0.006454, -0.010806
1061	3	469.319413, 88.733970	1.054288, -0.667733	0.002608, 0.004109
1062	1	640.005497, 360.023094	0.000008, 0.000034	-0.000000, 0.000000
1062	2	535.087654, 529.492368	-1.353905, -0.827007	0.006540, -0.010754
1062	3	470.376292, 88.070357	1.056880, -0.663614	0.002592, 0.004120
1063	1	640.005505, 360.023127	0.000008, 0.000034	-0.000000, 0.000000
1063	2	533.740375, 528.654660	-1.347280, -0.837708	0.006625, -0.010701
1063	3	471.435747, 87.410872	1.059455, -0.659484	0.002576, 0.004130
1064	1	640.005514, 360.023161	0.000008, 0.000034	-0.000000, 0.000000
1064	2	532.399804, 527.806304	-1.340570, -0.848356	0.006710, -0.010648
1064	3	472.497762, 86.755528	1.062015, -0.655345	0.002560, 0.004140
1065	1	640.005522, 360.023195	0.000008, 0.000034	-0.000000, 0.000000
1065	2	531.066028, 526.947354	-1.333776, -0.858949	0.006794, -0.010593
1065	3	473.562321, 86.104332	1.064559, -0.651195	0.002544, 0.004149
1066	1	640.005529, 360.023229	0.000008, 0.000034	-0.000000, 0.000000
1066	2	529.739130, 526.077866	-1.326898, -0.869488	0.006878, -0.010539
1066	3	474.629407, 85.457296	1.067086, -0.647036	0.002527, 0.004159
1067	1	640.005537, 360.023263	0.000008, 0.000034	-0.000000, 0.000000
1067	2	528.419193, 525.197895	-1.319937, -0.879971	0.006961, -0.010483
1067	3	475.699004, 84.814430	1.069597, -0.642867	0.002511, 0.004169
1068	1	640.005545, 360.023297	0.000008, 0.000034	-0.000000, 0.000000
1068	2	527.106300, 524.307496	-1.312893, -0.890399	0.007044, -0.010427
1068	3	476.771096, 84.175741	1.072092, -0.638688	0.002495, 0.004179
1069	1	640.005553, 360.023331	0.000008, 0.000034	-0.000000, 0.000000
1069	2	525.800534, 523.406727	-1.305766, -0.900769	0.007127, -0.010370
1069	3	477.845666, 83.541242	1.074570, -0.634500	0.002479, 0.004188
1070	1	640.005560, 360.023366	0.000008, 0.000034	-0.000000, 0.000000
1070	2	524.501977, 522.495645	-1.298557, -0.911082	0.007209, -0.010313
1070	3	478.922698, 82.910940	1.077032, -0.630302	0.002462, 0.004198
1071	1	640.005568, 360.023400	0.000008, 0.000034	-0.000000, 0.000000
1071	2	523.210710, 521.574308	-1.291267, -0.921337	0.007290, -0.010255
1071	3	480.002176, 82.284846	1.079478, -0.626094	0.002446, 0.004208
1072	1	640.005575, 360.023435	0.000007, 0.000034	-0.000000, 0.000000
1072	2	521.926815, 520.642775	-1.283895, -0.931533	0.007372, -0.010196
1072	3	481.084084, 81.662968	1.081908, -0.621877	0.002429, 0.004217
1073	1	640.005583, 360.023469	0.000007, 0.000035	-0.000000, 0.000000
1073	2	520.650372, 519.701104	-1.276443, -0.941670	0.007452, -0.010137
1073	3	482.168404, 81.045317	1.084320, -0.617651	0.002413, 0.004226
1074	1	640.005590, 360.023504	0.000007, 0.000035	-0.000000, 0.000000
1074	2	519.381461, 518.749357	-1.268911, -0.951747	0.007532, -0.010077
1074	3	483.255121, 80.431902	1.086717, -0.613415	0.002396, 0.004236
1075	1	640.005597, 360.023539	0.000007, 0.000035	-0.000000, 0.000000
1075	2	518.120162, 517.787593	-1.261299, -0.961764	0.007612, -0.010016
1075	3	484.344218, 79.822732	1.089097, -0.609170	0.002380, 0.004245
1076	1	640.005604, 360.023573	0.000007, 0.000035	-0.000000, 0.000000
1076	2	516.866554, 516.815874	-1.253608, -0.971719	0.007691, -0.009955
1076	3	485.435678, 79.217816	1.091460, -0.604916	0.002363, 0.004254
1077	1	640.005611, 360.023608	0.000007, 0.000035	-0.000000, 0.000000
1077	2	515.620716, 515.834262	-1.245838, -0.981612	0.007770, -0.009893
1077	3	486.529485, 78.617163	1.093807, -0.600653	0.002347, 0.004263
1078	1	640.005618, 360.023643	0.000007, 0.000035	-0.000000, 0.000000
1078	2	514.382726, 514.842820	-1.237990, -0.991443	0.007848, -0.009831
1078	3	487.625622, 78.020783	1.096137, -0.596380	0.002330, 0.004272
1079	1	640.005625, 360.023678	0.000007, 0.000035	-0.000000, 0.000000
1079	2	513.152662, 513.841609	-1.230065, -1.001210	0.007926, -0.009768
1079	3	488.724072, 77.428684	1.098450, -0.592099	0.002313, 0.004281
1080	1	640.005632, 360.023713	0.000007, 0.000035	-0.000000, 0.000000
1080	2	511.930600, 512.830695	-1.222062, -1.010914	0.008003, -0.009704
1080	3	489.824819, 76.840875	1.100747, -0.587809	0.002297, 0.004290
1081	1	640.005638, 360.023749	0.000007, 0.000035	-0.000000, 0.000000
1081	2	510.716617, 511.810141	-1.213982, -1.020554	0.008079, -0.009640
1081	3	490.927846, 76.257365	1.103027, -0.583510	0.002280, 0.004299
1082	1	640.005645, 360.023784	0.000007, 0.000035	-0.000000, 0.000000
1082	2	509.510790, 510.780013	-1.205827, -1.030128	0.008155, -0.009575
1082	3	492.033136, 75.678164	1.105290, -0.579202	0.002263, 0.004308
1083	1	640.005651, 360.023819	0.000006, 0.000035	-0.000000, 0.000000
1083	2	508.313194, 509.740376	-1.197596, -1.039637	0.008231, -0.009509
1083	3	493.140673, 75.103279	1.107537, -0.574885	0.002246, 0.004317
1084	1	640.005658, 360.023855	0.000006, 0.000035	-0.000000, 0.000000
1084	2	507.123905, 508.691295	-1.189290, -1.049080	0.008306, -0.009443
1084	3	494.250439, 74.532720	1.109766, -0.570559	0.002230, 0.004325
1085	1	640.005664, 360.023890	0.000006, 0.000035	-0.000000, 0.000000
1085	2	505.942995, 507.632839	-1.180909, -1.058456	0.008381, -0.009376
1085	3	495.362418, 73.966494	1.111979, -0.566225	0.002213, 0.004334
1086	1	640.005670, 360.023926	0.000006, 0.000036	-0.000000, 0.000000
1086	2	504.770540, 506.565074	-1.172455, -1.067765	0.008455, -0.009309
1086	3	496.476593, 73.404612	1.114175, -0.561883	0.002196, 0.004343
1087	1	640.005676, 360.023961	0.000006, 0.000036	-0.000000, 0.000000
1087	2	503.606614, 505.488068	-1.163927, -1.077006	0.008528, -0.009241
1087	3	497.592946, 72.847080	1.116354, -0.557532	0.002179, 0.004351
1088	1	640.005682, 360.023997	0.000006, 0.000036	-0.000000, 0.000000
1088	2	502.451287, 504.401889	-1.155326, -1.086178	0.008601, -0.009172
1088	3	498.711462, 72.293908	1.118515, -0.553172	0.002162, 0.004360
1089	1	640.005688, 360.024033	0.000006, 0.000036	-0.000000, 0.000000
1089	2	501.304634, 503.306607	-1.146653, -1.095282	0.008673, -0.009103
1089	3	499.832122, 71.745104	1.120660, -0.548804	0.002145, 0.004368
1090	1	640.005694, 360.024068	0.000006, 0.000036	-0.000000, 0.000000
1090	2	500.166726, 502.202292	-1.137908, -1.104316	0.008745, -0.009034
1090	3	500.954910, 71.200676	1.122788, -0.544428	0.002128, 0.004376
1091	1	640.005699, 360.024104	0.000006, 0.000036	-0.000000, 0.000000
1091	2	499.037634, 501.089013	-1.129092, -1.113279	0.008816, -0.008963
1091	3	502.079809, 70.660632	1.124899, -0.540044	0.002111, 0.004384
1092	1	640.005705, 360.024140	0.000006, 0.000036	-0.000000, 0.000000
1092	2	497.917428, 499.966841	-1.120206, -1.122172	0.008887, -0.008893
1092	3	503.206802, 70.124981	1.126993, -0.535651	0.002094, 0.004393
1093	1	640.005710, 360.024176	0.000005, 0.000036	-0.000000, 0.000000
1093	2	496.806179, 498.835848	-1.111249, -1.130993	0.008957, -0.008821
1093	3	504.335871, 69.593730	1.129069, -0.531251	0.002077, 0.004401
1094	1	640.005716, 360.024212	0.000005, 0.000036	-0.000000, 0.000000
1094	2	495.703956, 497.696105	-1.102223, -1.139743	0.009026, -0.008750
1094	3	505.467000, 69.066888	1.131129, -0.526842	0.002059, 0.004409
1095	1	640.005721, 360.024249	0.000005, 0.000036	-0.000000, 0.000000
1095	2	494.610829, 496.547685	-1.093128, -1.148420	0.009095, -0.008677
1095	3	506.600171, 68.544463	1.133171, -0.522425	0.002042, 0.004417
1096	1	640.005726, 360.024285	0.000005, 0.000036	-0.000000, 0.000000
1096	2	493.526864, 495.390661	-1.083965, -1.157024	0.009163, -0.008604
1096	3	507.735367, 68.026462	1.135196, -0.518001	0.002025, 0.004424
1097	1	640.005731, 360.024321	0.000005, 0.000036	-0.000000, 0.000000
1097	2	492.452130, 494.225107	-1.074734, -1.165555	0.009231, -0.008531
1097	3	508.872570, 67.512893	1.137204, -0.513569	0.002008, 0.004432
1098	1	640.005736, 360.024357	0.000005, 0.000036	-0.000000, 0.000000
1098	2	491.386694, 493.051096	-1.065436, -1.174011	0.009298, -0.008457
1098	3	510.011765, 67.003764	1.139194, -0.509129	0.001990, 0.004440
1099	1	640.005741, 360.024394	0.000005, 0.000036	-0.000000, 0.000000
1099	2	490.330623, 491.868702	-1.056071, -1.182393	0.009365, -0.008382
1099	3	511.152932, 66.499083	1.141167, -0.504681	0.001973, 0.004448
1100	1	640.005746, 360.024430	0.000005, 0.000036	-0.000000, 0.000000
1100	2	489.283983, 490.678002	-1.046641, -1.190700	0.009430, -0.008307
1100	3	512.296055, 65.998858	1.143123, -0.500226	0.001956, 0.004455
1101	1	640.005750, 360.024467	0.000005, 0.000037	-0.000000, 0.000000
1101	2	488.246838, 489.479070	-1.037145, -1.198932	0.009496, -0.008231
1101	3	513.441116, 65.503095	1.145061, -0.495763	0.001938, 0.004463
1102	1	640.005755, 360.024503	0.000005, 0.000037	-0.000000, 0.000000
1102	2	487.219253, 488.271983	-1.027585, -1.207087	0.009560, -0.008155
1102	3	514.588099, 65.011803	1.146983, -0.491292	0.001921, 0.004470
1103	1	640.005759, 360.024540	0.000004, 0.000037	-0.000000, 0.000000
1103	2	486.201293, 487.056818	-1.017960, -1.215166	0.009624, -0.008079
1103	3	515.736985, 64.524988	1.148886, -0.486814	0.001904, 0.004478
1104	1	640.005764, 360.024577	0.000004, 0.000037	-0.000000, 0.000000
1104	2	485.193020, 485.833651	-1.008272, -1.223167	0.009688, -0.008002
1104	3	516.887757, 64.042659	1.150772, -0.482329	0.001886, 0.004485
1105	1	640.005768, 360.024614	0.000004, 0.000037	-0.000000, 0.000000
1105	2	484.194499, 484.602559	-0.998522, -1.231091	0.009751, -0.007924
1105	3	518.040398, 63.564822	1.152641, -0.477837	0.001869, 0.004492
1106	1	640.005772, 360.024650	0.000004, 0.000037	-0.000000, 0.000000
1106	2	483.205790, 483.363622	-0.988709, -1.238937	0.009813, -0.007846
1106	3	519.194890, 63.091485	1.154492, -0.473337	0.001851, 0.004500
1107	1	640.005776, 360.024687	0.000004, 0.000037	-0.000000, 0.000000
1107	2	482.226956, 482.116918	-0.978834, -1.246704	0.009874, -0.007767
1107	3	520.351216, 62.622654	1.156326, -0.468831	0.001834, 0.004507
1108	1	640.005780, 360.024724	0.000004, 0.000037	-0.000000, 0.000000
1108	2	481.258057, 480.862526	-0.968899, -1.254392	0.009935, -0.007688
1108	3	521.509358, 62.158338	1.158142, -0.464317	0.001816, 0.004514
1109	1	640.005784, 360.024761	0.000004, 0.000037	-0.000000, 0.000000
1109	2	480.299154, 479.600525	-0.958903, -1.262001	0.009996, -0.007609
1109	3	522.669298, 61.698542	1.159940, -0.459796	0.001798, 0.004521
1110	1	640.005787, 360.024798	0.000004, 0.000037	-0.000000, 0.000000
1110	2	479.350305, 478.330995	-0.948848, -1.269530	0.010055, -0.007529
1110	3	523.831019, 61.243274	1.161721, -0.455268	0.001781, 0.004528
1111	1	640.005791, 360.024835	0.000004, 0.000037	-0.000000, 0.000000
1111	2	478.411572, 477.054017	-0.938734, -1.276978	0.010114, -0.007448
1111	3	524.994504, 60.792540	1.163484, -0.450733	0.001763, 0.004535
1112	1	640.005794, 360.024872	0.000003, 0.000037	-0.000000, 0.000000
1112	2	477.483011, 475.769672	-0.928561, -1.284345	0.010173, -0.007367
1112	3	526.159733, 60.346349	1.165230, -0.446192	0.001746, 0.004541
1113	1	640.005798, 360.024910	0.000003, 0.000037	-0.000000, 0.000000
1113	2	476.564680, 474.478042	-0.918331, -1.291631	0.010230, -0.007286
1113	3	527.326691, 59.904705	1.166958, -0.441644	0.001728, 0.004548
1114	1	640.005801, 360.024947	0.000003, 0.000037	-0.000000, 0.000000
1114	2	475.656636, 473.179207	-0.908044, -1.298835	0.010287, -0.007204
1114	3	528.495359, 59.467616	1.168668, -0.437089	0.001710, 0.004555
1115	1	640.005804, 360.024984	0.000003, 0.000037	-0.000000, 0.000000
1115	2	474.758936, 471.873251	-0.897700, -1.305956	0.010344, -0.007122
1115	3	529.665719, 59.035089	1.170360, -0.432527	0.001692, 0.004561
1116	1	640.005807, 360.025021	0.000003, 0.000037	-0.000000, 0.000000
1116	2	473.871636, 470.560255	-0.887301, -1.312995	0.010399, -0.007039
1116	3	530.837754, 58.607130	1.172035, -0.427959	0.001675, 0.004568
1117	1	640.005810, 360.025059	0.000003, 0.000037	-0.000000, 0.000000
1117	2	472.994789, 469.240305	-0.876846, -1.319951	0.010454, -0.006956
1117	3	532.011445, 58.183745	1.173691, -0.423385	0.001657, 0.004574
1118	1	640.005813, 360.025096	0.000003, 0.000037	-0.000000, 0.000000
1118	2	472.128452, 467.913482	-0.866337, -1.326823	0.010509, -0.006872
1118	3	533.186775, 57.764941	1.175330, -0.418804	0.001639, 0.004581
1119	1	640.005815, 360.025134	0.000003, 0.000037	-0.000000, 0.000000
1119	2	471.272677, 466.579870	-0.855775, -1.333611	0.010562, -0.006788
1119	3	534.363727, 57.350724	1.176951, -0.414217	0.001621, 0.004587
1120	1	640.005818, 360.025171	0.000003, 0.000038	-0.000000, 0.000000
1120	2	470.427518, 465.239556	-0.845159, -1.340315	0.010615, -0.006704
1120	3	535.542282, 56.941101	1.178555, -0.409623	0.001603, 0.004593
1121	1	640.005820, 360.025209	0.000002, 0.000038	-0.000000, 0.000000
1121	2	469.593026, 463.892622	-0.834492, -1.346934	0.010668, -0.006619
1121	3	536.722422, 56.536077	1.180140, -0.405024	0.001585, 0.004600
1122	1	640.005823, 360.025246	0.000002, 0.000038	-0.000000, 0.000000
1122	2	468.769254, 462.539155	-0.823772, -1.353467	0.010719, -0.006534
1122	3	537.904129, 56.135659	1.181707, -0.400418	0.001567, 0.004606
1123	1	640.005825, 360.025284	0.000002, 0.000038	-0.000000, 0.000000
1123	2	467.956253, 461.179239	-0.813002, -1.359915	0.010770, -0.006448
1123	3	539.087386, 55.739852	1.183257, -0.395806	0.001549, 0.004612
1124	1	640.005827, 360.025322	0.000002, 0.000038	-0.000000, 0.000000
1124	2	467.154072, 459.812962	-0.802181, -1.366277	0.010821, -0.006362
1124	3	540.272174, 55.348664	1.184788, -0.391189	0.001531, 0.004618
1125	1	640.005829, 360.025359	0.000002, 0.000038	-0.000000, 0.000000
1125	2	466.362761, 458.440410	-0.791311, -1.372553	0.010870, -0.006275
1125	3	541.458476, 54.962099	1.186302, -0.386565	0.001513, 0.004624
1126	1	640.005831, 360.025397	0.000002, 0.000038	-0.000000, 0.000000
1126	2	465.582370, 457.061669	-0.780391, -1.378741	0.010919, -0.006189
1126	3	542.646274, 54.580163	1.187797, -0.381936	0.001495, 0.004629
1127	1	640.005833, 360.025435	0.000002, 0.000038	-0.000000, 0.000000
1127	2	464.812946, 455.676826	-0.769424, -1.384843	0.010967, -0.006101
1127	3	543.835548, 54.202863	1.189275, -0.377300	0.001477, 0.004635
